Sensors' Acquisition [Hz]: Acc@26.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
09:58:33.376,,-17,-24,1062
09:58:33.414,,-18,-23,1062
09:58:33.452,,-18,-24,1062
09:58:33.490,,-17,-24,1062
09:58:33.528,,-18,-24,1062
09:58:33.566,,-17,-24,1062
09:58:33.604,,-18,-23,1062
09:58:33.642,,-18,-24,1062
09:58:33.680,,-18,-24,1063
09:58:33.718,,-18,-24,1062
09:58:33.756,,-17,-24,1062
09:58:33.794,,-17,-24,1061
09:58:33.832,,-18,-23,1062
09:58:33.870,,-18,-23,1062
09:58:33.908,,-18,-24,1062
09:58:33.946,,-18,-23,1062
09:58:33.984,,-18,-24,1062
09:58:34.022,,-18,-24,1062
09:58:34.060,,-18,-24,1062
09:58:34.098,,-18,-24,1061
09:58:34.136,,-18,-24,1062
09:58:34.174,,-18,-23,1062
09:58:34.212,,-17,-24,1062
09:58:34.250,,-18,-24,1063
09:58:34.288,,-18,-24,1062
09:58:34.326,,-18,-24,1062
09:58:34.364,,-18,-24,1062
09:58:34.402,,-18,-24,1062
09:58:34.440,,-17,-24,1062
09:58:34.478,,-18,-24,1062
09:58:34.516,,-17,-24,1062
09:58:34.554,,-18,-23,1063
09:58:34.592,,-18,-24,1062
09:58:34.630,,-18,-24,1063
09:58:34.668,,-18,-24,1064
09:58:34.706,,-18,-24,1061
09:58:34.744,,-18,-24,1062
09:58:34.750,>Stationary,,,
09:58:34.782,,-18,-23,1062
09:58:34.820,,-18,-24,1063
09:58:34.858,,-17,-24,1062
09:58:34.896,,-17,-23,1063
09:58:34.934,,-17,-24,1062
09:58:34.972,,-17,-23,1062
09:58:35.010,,-17,-24,1063
09:58:35.048,,-17,-24,1062
09:58:35.086,,-17,-24,1063
09:58:35.124,,-17,-24,1062
09:58:35.162,,-18,-24,1062
09:58:35.200,,-18,-23,1062
09:58:35.238,,-17,-23,1062
09:58:35.276,,-18,-23,1062
09:58:35.314,,-18,-24,1062
09:58:35.352,,-17,-24,1062
09:58:35.390,,-18,-23,1062
09:58:35.428,,-17,-23,1063
09:58:35.466,,-18,-23,1063
09:58:35.504,,-17,-24,1062
09:58:35.542,,-18,-24,1063
09:58:35.580,,-17,-23,1062
09:58:35.618,,-18,-23,1063
09:58:35.656,,-18,-23,1062
09:58:35.694,,-18,-23,1063
09:58:35.732,,-18,-23,1063
09:58:35.770,,-17,-23,1063
09:58:35.808,,-18,-23,1063
09:58:35.846,,-18,-23,1063
09:58:35.884,,-97,-14,1064
09:58:35.922,,87,27,1107
09:58:35.960,,53,-32,1092
09:58:35.998,,32,-21,1195
09:58:36.036,,-24,32,1164
09:58:36.074,,-109,5,1168
09:58:36.112,,-45,-3,1060
09:58:36.150,,9,-15,984
09:58:36.188,,14,-73,1025
09:58:36.226,,-7,-43,1025
09:58:36.264,,-6,-41,1022
09:58:36.302,,33,-50,1041
09:58:36.340,,67,-37,1044
09:58:36.378,,71,-27,1054
09:58:36.416,,-42,-23,1062
09:58:36.454,,-64,5,1011
09:58:36.492,,16,-13,986
09:58:36.530,,-4,-56,1073
09:58:36.568,,-8,18,1096
09:58:36.606,,338,46,1013
09:58:36.644,,505,-49,955
09:58:36.682,,86,-95,1310
09:58:36.720,,-782,64,1867
09:58:36.758,,-1595,372,1889
09:58:36.796,,-679,422,1105
09:58:36.834,,499,351,-678
09:58:36.872,,1427,-161,-1219
09:58:36.910,,1420,-177,1004
09:58:36.948,,-314,-150,1998
09:58:36.986,,-1167,178,1998
09:58:37.024,,-333,724,991
09:58:37.062,,842,337,-1576
09:58:37.100,,1242,-88,606
09:58:37.138,,302,70,1973
09:58:37.176,,-1387,332,1998
09:58:37.214,,-1021,645,1994
09:58:37.252,,230,585,735
09:58:37.290,,786,373,-1500
09:58:37.328,,1240,-6,-1670
09:58:37.366,,1437,-153,320
09:58:37.404,,367,-55,1994
09:58:37.442,,-1094,63,1998
09:58:37.480,,-1237,546,1998
09:58:37.518,,-164,830,657
09:58:37.556,,853,328,-1148
09:58:37.594,,1294,16,-1586
09:58:37.632,,1353,-287,167
09:58:37.670,,991,-344,1795
09:58:37.708,,-179,-140,1998
09:58:37.746,,-1361,212,1998
09:58:37.784,,-958,555,1775
09:58:37.822,,266,510,161
09:58:37.860,,968,168,-890
09:58:37.898,,1294,-164,-571
09:58:37.936,,1463,-195,605
09:58:37.974,,761,-413,1957
09:58:38.012,,-369,-40,1998
09:58:38.050,,-1289,223,1998
09:58:38.088,,-851,365,1570
09:58:38.126,,163,275,620
09:58:38.164,,538,53,173
09:58:38.202,,919,-101,142
09:58:38.240,,753,-263,477
09:58:38.278,,163,-254,1203
09:58:38.316,,-15,-237,1465
09:58:38.354,,-61,-58,1246
09:58:38.392,,-174,-43,1341
09:58:38.430,,38,-51,1204
09:58:38.468,,57,30,1059
09:58:38.506,,-39,15,1041
09:58:38.544,,10,43,1009
09:58:38.582,,43,-70,1124
09:58:38.620,,-56,-45,941
09:58:38.658,,-47,9,1062
09:58:38.696,,-28,-3,1064
09:58:38.734,,-97,34,1061
09:58:38.772,,53,-54,1061
09:58:38.810,,-11,-31,1060
09:58:38.848,,-18,-24,1062
09:58:38.886,,-17,-23,1061
09:58:38.924,,-18,-23,1062
09:58:38.962,,-18,-23,1061
09:58:39.083,,-18,-23,1061
09:58:39.084,,-18,-23,1061
09:58:39.085,,-18,-23,1061
09:58:39.114,,-18,-23,1061
09:58:39.152,,-18,-23,1061
09:58:39.190,,-18,-23,1061
09:58:39.228,,-18,-23,1060
09:58:39.266,,-18,-23,1059
09:58:39.304,,-15,-24,1060
09:58:39.342,,-20,-22,1057
09:58:39.380,,-20,-23,1059
09:58:39.418,,-17,-23,1060
09:58:39.456,,-18,-23,1061
09:58:39.494,,-17,-23,1061
09:58:39.532,,-18,-23,1060
09:58:39.570,,-17,-23,1060
09:58:39.608,,-17,-23,1060
09:58:39.646,,-18,-24,1060
09:58:39.684,,-18,-23,1061
09:58:39.722,,-18,-23,1060
09:58:39.760,,-17,-23,1061
09:58:39.798,,-18,-24,1061
09:58:39.836,,-17,-24,1061
09:58:39.874,,-18,-23,1061
09:58:39.912,,-18,-24,1060
09:58:39.950,,-17,-24,1061
09:58:39.988,,-18,-23,1060
09:58:40.026,,-18,-23,1060
09:58:40.064,,-18,-23,1060
09:58:40.102,,-18,-23,1061
09:58:40.140,,-18,-23,1061
09:58:40.178,,-18,-23,1061
09:58:40.216,,-18,-23,1061
09:58:40.254,,-17,-24,1061
09:58:40.292,,-18,-24,1061
09:58:40.330,,-18,-24,1061
09:58:40.368,,-18,-23,1061
09:58:40.406,,-18,-23,1061
09:58:40.444,,-18,-23,1061
09:58:40.482,,-17,-23,1060
09:58:40.520,,-17,-23,1061
09:58:40.558,,-18,-23,1061
09:58:40.596,,-18,-23,1060
09:58:40.634,,-18,-23,1061
09:58:40.672,,-18,-24,1062
09:58:40.710,,-18,-23,1061
09:58:40.748,,-18,-23,1061
09:58:40.786,,-18,-23,1062
09:58:40.824,,-18,-23,1061
09:58:40.862,,-18,-23,1062
09:58:40.900,,-18,-23,1061
09:58:40.938,,-18,-23,1061
09:58:40.976,,-17,-23,1062
09:58:41.014,,-18,-23,1062
09:58:41.052,,-18,-23,1061
09:58:41.090,,-18,-23,1062
09:58:41.128,,-18,-23,1062
09:58:41.166,,-18,-23,1061
09:58:41.204,,-18,-23,1062
09:58:41.242,,-18,-23,1062
09:58:41.280,,-18,-23,1061
09:58:41.318,,-18,-23,1062
09:58:41.356,,-18,-24,1061
09:58:41.394,,-18,-23,1061
09:58:41.432,,-17,-23,1062
09:58:41.470,,-17,-24,1062
09:58:41.508,,-17,-23,1062
09:58:41.546,,-18,-23,1061
09:58:41.584,,-18,-24,1061
09:58:41.621,,-18,-24,1061
09:58:41.659,,-18,-23,1061
09:58:41.697,,-18,-23,1061
09:58:41.735,,-17,-23,1061
09:58:41.773,,-18,-23,1062
09:58:41.811,,-18,-24,1061
09:58:41.849,,-18,-23,1061
09:58:41.887,,-18,-23,1061
09:58:41.925,,-18,-23,1062
09:58:41.963,,-18,-23,1061
09:58:42.001,,-18,-23,1062
09:58:42.039,,-18,-24,1062
09:58:42.077,,-18,-23,1062
09:58:42.115,,-18,-23,1061
09:58:42.153,,-18,-24,1062
09:58:42.191,,-18,-24,1062
09:58:42.229,,-18,-23,1062
09:58:42.267,,-18,-23,1062
09:58:42.305,,-17,-23,1062
09:58:42.343,,-18,-23,1061
09:58:42.381,,-18,-23,1062
09:58:42.419,,-18,-23,1062
09:58:42.457,,-18,-24,1062
09:58:42.495,,-18,-23,1062
09:58:42.533,,-18,-23,1061
09:58:42.571,,-18,-23,1062
09:58:42.609,,-18,-23,1062
09:58:42.647,,-18,-23,1061
09:58:42.685,,-18,-23,1062
09:58:42.723,,-17,-24,1061
09:58:42.761,,-18,-23,1062
