Sensors' Acquisition [Hz]: Acc@26.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
09:58:09.372,,-20,-23,1044
09:58:09.410,,-20,-24,1052
09:58:09.448,,-20,-24,1053
09:58:09.486,,-20,-23,1054
09:58:09.524,,-20,-24,1055
09:58:09.562,,-20,-24,1054
09:58:09.600,,-20,-24,1055
09:58:09.638,,-20,-24,1057
09:58:09.676,,-20,-24,1056
09:58:09.714,,-20,-24,1056
09:58:09.752,,-20,-24,1057
09:58:09.790,,-21,-24,1057
09:58:09.828,,-20,-23,1058
09:58:09.866,,-20,-23,1057
09:58:09.904,,-20,-23,1057
09:58:09.942,,-20,-23,1058
09:58:09.980,,-20,-24,1059
09:58:10.018,,-20,-23,1058
09:58:10.056,,-21,-23,1059
09:58:10.094,,-20,-23,1058
09:58:10.132,,-20,-23,1059
09:58:10.170,,-20,-24,1058
09:58:10.208,,-19,-24,1059
09:58:10.246,,-21,-23,1060
09:58:10.284,,-20,-23,1060
09:58:10.322,,-20,-23,1059
09:58:10.360,,-20,-23,1061
09:58:10.398,,-20,-24,1059
09:58:10.436,,-21,-24,1059
09:58:10.474,,-20,-24,1060
09:58:10.512,,-20,-23,1060
09:58:10.550,,-21,-24,1060
09:58:10.588,,-20,-23,1060
09:58:10.626,,-20,-23,1060
09:58:10.664,,-20,-23,1061
09:58:10.702,,-20,-23,1061
09:58:10.740,,-20,-23,1060
09:58:10.778,,-20,-23,1061
09:58:10.816,,-20,-23,1061
09:58:10.854,,-20,-23,1060
09:58:10.892,,-20,-23,1061
09:58:10.930,,-20,-23,1061
09:58:10.968,,-20,-24,1061
09:58:11.006,,-20,-23,1062
09:58:11.044,,-20,-23,1061
09:58:11.082,,-20,-23,1062
09:58:11.120,,-20,-23,1061
09:58:11.158,,-21,-23,1061
09:58:11.196,,-20,-23,1061
09:58:11.234,,-21,-23,1062
09:58:11.272,,-20,-23,1061
09:58:11.310,,-20,-23,1061
09:58:11.348,,-20,-23,1061
09:58:11.386,,-20,-23,1060
09:58:11.424,,-19,-23,1061
09:58:11.462,,-22,-23,1062
09:58:11.500,,-20,-23,1060
09:58:11.538,,-20,-23,1061
09:58:11.576,,-20,-23,1060
09:58:11.614,,-21,-23,1062
09:58:11.652,,-20,-23,1061
09:58:11.690,,-20,-24,1060
09:58:11.728,,-20,-22,1061
09:58:11.766,,-22,-23,1062
09:58:11.774,>Jogging,,,
09:58:11.804,,-21,-22,1062
09:58:11.842,,-21,-22,1062
09:58:11.880,,-21,-23,1062
09:58:11.918,,-21,-21,1062
09:58:11.956,,-21,-23,1062
09:58:11.994,,-21,-27,1059
09:58:12.032,,-16,-27,1058
09:58:12.070,,-16,-27,1056
09:58:12.108,,-18,-18,1063
09:58:12.146,,-20,-24,1063
09:58:12.184,,-20,-22,1061
09:58:12.222,,-18,-24,1061
09:58:12.260,,-19,-24,1061
09:58:12.298,,-20,-24,1062
09:58:12.336,,-19,-23,1061
09:58:12.374,,-20,-24,1062
09:58:12.412,,-19,-24,1061
09:58:12.450,,-20,-24,1062
09:58:12.488,,-15,-25,1060
