Sensors' Acquisition [Hz]: Acc@26.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
10:00:36.375,,-18,-23,1062
10:00:36.413,,-18,-23,1063
10:00:36.451,,-18,-23,1063
10:00:36.489,,-18,-24,1063
10:00:36.527,,-17,-23,1062
10:00:36.565,,-18,-23,1063
10:00:36.603,,-18,-24,1063
10:00:36.641,,-18,-23,1063
10:00:36.679,,-18,-23,1063
10:00:36.717,,-19,-23,1063
10:00:36.755,,-18,-24,1062
10:00:36.793,,-17,-23,1063
10:00:36.831,,-18,-23,1062
10:00:36.869,,-17,-23,1063
10:00:36.907,,-18,-23,1062
10:00:36.945,,-18,-23,1062
10:00:36.983,,-18,-23,1062
10:00:37.021,,-17,-23,1062
10:00:37.059,,-18,-23,1062
10:00:37.097,,-18,-23,1062
10:00:37.135,,-18,-23,1063
10:00:37.173,,-18,-23,1063
10:00:37.211,,-19,-23,1062
10:00:37.249,,-17,-23,1062
10:00:37.287,,-18,-23,1063
10:00:37.325,,-18,-23,1062
10:00:37.363,,-18,-23,1062
10:00:37.401,,-18,-23,1062
10:00:37.439,,-18,-23,1062
10:00:37.477,,-18,-23,1062
10:00:37.515,,-18,-23,1062
10:00:37.553,,-18,-23,1063
10:00:37.591,,-18,-24,1063
10:00:37.629,,-18,-23,1062
10:00:37.667,,-18,-23,1062
10:00:37.705,,-18,-23,1063
10:00:37.743,,-18,-23,1062
10:00:37.781,,-18,-23,1062
10:00:37.819,,-18,-23,1063
10:00:37.857,,-18,-24,1062
10:00:37.895,,-18,-23,1062
10:00:37.933,,-18,-24,1062
10:00:37.971,,-18,-23,1063
10:00:38.009,,-18,-23,1062
10:00:38.047,,-18,-23,1063
10:00:38.085,,-18,-23,1062
10:00:38.123,,-18,-23,1063
10:00:38.161,,-18,-23,1062
10:00:38.199,,-18,-23,1062
10:00:38.237,,-18,-23,1062
10:00:38.275,,-18,-23,1062
10:00:38.313,,-18,-23,1063
10:00:38.351,,-17,-23,1062
10:00:38.389,,-18,-23,1063
10:00:38.427,,-18,-23,1062
10:00:38.465,,-18,-23,1063
10:00:38.503,,-18,-23,1062
10:00:38.541,,-18,-23,1062
10:00:38.579,,-18,-23,1062
10:00:38.617,,-18,-24,1062
10:00:38.627,>Jogging,,,
10:00:38.655,,-18,-23,1062
